Area,Months,Year,Temperature change,RollingMean_5Y
France,May,2001,2.078,2.1002
France,June,2001,0.878,0.9441999999999998
France,July,2001,1.124,0.648
France,August,2001,2.237,2.0782
France,September,2001,-1.388,0.7842
France,October,2001,3.552,1.2069999999999999
France,November,2001,-0.517,0.04480000000000004
France,December,2001,-1.603,0.7448
France,,2001,2.088,
France,,2001,1.526,
France,,2001,1.413,
France,,2001,0.549,
France,,2001,1.394,
France,January,2002,1.609,1.5674
France,February,2002,3.097,1.8561999999999999
France,March,2002,2.235,1.7979999999999996
France,April,2002,1.205,0.6540000000000001
France,May,2002,0.416,1.8814
France,June,2002,1.888,1.2427999999999997
France,July,2002,0.24,0.6528000000000002
France,August,2002,0.531,1.5455999999999999
France,September,2002,-0.243,0.4416000000000001
France,October,2002,0.858,1.182
France,November,2002,2.432,0.20260000000000003
France,December,2002,2.416,0.9608000000000001
France,,2002,1.034,
France,,2002,1.285,
France,,2002,0.886,
France,,2002,1.016,
France,,2002,1.055,
France,January,2003,-0.098,1.2004
France,February,2003,-0.856,1.2391999999999999
France,March,2003,2.605,2.0105999999999997
France,April,2003,1.644,0.9642
France,May,2003,1.757,1.8244
France,June,2003,4.851,1.9798000000000002
France,July,2003,2.517,1.0466000000000002
France,August,2003,5.241,2.2922
France,September,2003,0.891,0.5476000000000001
France,October,2003,-1.215,0.9203999999999997
France,November,2003,1.93,0.9016
France,December,2003,0.899,1.0584000000000002
France,,2003,0.487,
France,,2003,2.002,
France,,2003,4.203,
France,,2003,0.535,
France,,2003,1.807,
France,January,2004,1.328,1.0154
France,February,2004,0.752,1.4038
France,March,2004,-0.081,1.6895999999999998
France,April,2004,0.756,0.8888
France,May,2004,0.258,1.3636
France,June,2004,1.862,2.2520000000000002
France,July,2004,0.705,0.8014000000000001
France,August,2004,1.724,2.3082
France,September,2004,1.367,0.37540000000000007
France,October,2004,1.792,1.1147999999999998
France,November,2004,0.369,1.1079999999999999
France,December,2004,0.151,0.9548
France,,2004,0.993,
France,,2004,0.311,
France,,2004,1.43,
France,,2004,1.176,
France,,2004,0.978,
France,January,2005,1.151,1.1732
France,February,2005,-1.685,0.5572
France,March,2005,0.602,1.5878
France,April,2005,1.243,0.9538
France,May,2005,1.554,1.2125999999999997
France,June,2005,3.022,2.5002
France,July,2005,1.685,1.2542000000000002
France,August,2005,0.51,2.0485999999999995
France,September,2005,1.207,0.36680000000000007
France,October,2005,2.888,1.5749999999999997
France,November,2005,-0.024,0.8380000000000001
France,December,2005,-1.41,0.09060000000000006
France,,2005,-0.128,
France,,2005,1.133,
France,,2005,1.739,
France,,2005,1.357,
France,,2005,1.025,
France,January,2006,-0.44,0.7099999999999999
France,February,2006,-0.883,0.08499999999999992
France,March,2006,0.005,1.0732
France,April,2006,1.267,1.223
France,May,2006,1.527,1.1023999999999998
France,June,2006,2.452,2.815
France,July,2006,4.709,1.9712000000000003
France,August,2006,-0.334,1.5344
France,September,2006,2.691,1.1826
France,October,2006,3.299,1.5243999999999995
France,November,2006,2.84,1.5094
France,December,2006,1.197,0.6506000000000001
France,,2006,-0.911,
France,,2006,0.933,
France,,2006,2.276,
France,,2006,2.943,
France,,2006,1.31,
France,January,2007,3.381,1.0643999999999998
France,February,2007,3.243,0.11419999999999986
France,March,2007,1.139,0.8539999999999999
France,April,2007,4.36,1.8539999999999999
France,May,2007,1.916,1.4023999999999996
France,June,2007,1.567,2.7508
France,July,2007,0.215,1.9662000000000002
France,August,2007,0.254,1.4789999999999999
France,September,2007,-0.471,1.137
France,October,2007,0.19,1.3907999999999998
France,November,2007,-0.163,0.9904
France,December,2007,0.073,0.1820000000000001
France,,2007,2.607,
France,,2007,2.472,
France,,2007,0.679,
France,,2007,-0.148,
France,,2007,1.403,
France,January,2008,2.871,1.6581999999999997
France,February,2008,2.39,0.7634
France,March,2008,0.439,0.42079999999999995
France,April,2008,0.443,1.6138000000000001
France,May,2008,2.446,1.5402
France,June,2008,1.317,2.0439999999999996
France,July,2008,0.841,1.6310000000000002
France,August,2008,0.947,0.6202
France,September,2008,-0.733,0.8122
France,October,2008,0.169,1.6675999999999997
France,November,2008,0.589,0.7222
